id	x	y	width_px	height_px	scale	gpui_x	gpui_y	gpui_width	gpui_height
1187318355	0	0	3840	2160	2	0	0	1920	1080
1042158965	3840	-843	2160	3840	2	1920	-421.5	1080	1920
